chatglm3-6b	How can I make my private PRIDE dataset public?	9315	To make your private PRIDE dataset public, you can follow these steps:\n\n1. Log in to your PRIDE web account at <http://www.ebi.ac.uk/pride/archive/login> with your user account credentials.\n2. Go to your profile and select your private dataset.\n3. Click the green "Publish" button on the right-hand corner of the screen to request publication.\n4. Provide details for your dataset and submit a web form.\n\nPlease note that if you are not the original submitter, you can contact pride-support@ebi.ac.uk.\n\nOnce your publication is accepted, a project page will be released in PRIDE and available at ProteomeCentral (<http://proteomecentral.proteomexchange.org>).\n\nExceptions to the public release policy of the datasets may be granted in documented special cases, which will be considered on an individual case-by-case basis. If the original submitters have used or are planning to use the same dataset (that should be released) in other ongoing studies, they can request once an extension of the non-released status. This extension will be of a maximum of 6 months. An official request must be done by the data owner to PRIDE, justifying this request appropriately.
chatglm3-6b	What is the difference between Complete and Partial submission?	8939	Complete submission refers to a dataset that has been fully processed and meets all the requirements for inclusion in the PRIDE dataset. This includes the submission of all required files, such as the dataset XML file and any additional files, as well as the inclusion of all necessary metadata.\n\nPartial submission, on the other hand, refers to a dataset that has been partially processed and may not meet all the requirements for inclusion in the PRIDE dataset. This could occur if some files are missing or if the metadata is incomplete. In this case, the submitter may be contacted by the PRIDE curator to provide additional information or complete the submission.
chatglm3-6b	I want to resubmit my dataset, How can I do it? 	14452	To resubmit your dataset, follow these steps:\n\n1. Ensure you have a valid dataset and are ready to resubmit it.\n2. Click on the "Resubmission" button presented at the bottom of the screen.\n3. Check the "Enable resubmission" box and click on the "Load private datasets" button.\n4. From the drop-down list, select the dataset you wish to update.\n5. If there are any private datasets associated with your dataset, select the appropriate one from the drop-down list.\n6. If your dataset is part of a bigger project or effort, tag it accordingly.\n7. If there is already a PubMed ID associated with your dataset, ensure it is correctly linked.\n8. If your dataset represents a re-analysis or reuse of an earlier dataset, provide the necessary information.\n9. If there are other "omics" datasets associated with your dataset, provide their accession numbers.\n10. Submit the updated dataset using the PRIDE Submission Tool.\n\nRemember to carefully review and validate your dataset before resubmitting it.
chatglm3-6b	How to upload mzTab file as a Complete submission? 	10686	To upload an mzTab file as a Complete submission, follow these steps:\n\n1. Make sure you have all the necessary files included in the submission summary before proceeding to the upload step.\n2. Check the file size and ensure it is within the allowed limits for mzTab files.\n3. Select the mzTab file(s) from the 'File Upload' section.\n4. In the 'Apply to all' box, select the species and tissue information if applicable. If the desired species or tissue is not available in the drop-down menu, use the 'Other' option and search for the corresponding terms in the Ontology Lookup Service (OLS) panel.\n5. Provide any additional information such as cell type, disease, and quantification method (if applicable) using CV terms from the drop-down menu.\n6. Click the 'Upload' button to upload the mzTab file(s).\n7. Once the upload is complete, an email will be sent to confirm that the files have been uploaded successfully.\n\nNote: If you have multiple mzTab files to upload, you can select 'Apply to all' for replicating species and tissue information.
chatglm3-6b	Can I add pubmed id after I publish the dataset?	5378	Yes, you can add PubMed/DOI after publishing your dataset. However, if the PubMedID/DOI doesn't exist in EuroPMC or if it's a preprint, the request to make it public may fail. In such cases, it's better to omit those fields when you request to make the dataset public.
chatglm3-6b	How can I change the submitter’s details and contact?	6714	To change the submitter's details and contact, please follow these steps:\n\n1. Log in to your PRIDE web account and go to your profile.\n2. Select your private dataset from the list on the right-hand side of the screen.\n3. Click on the 'Transfer Ownership' tab located in the right-hand corner of the screen.\n4. Provide the new details and contact information in the respective fields.\n5. Make sure to register the new submitter's email with PRIDE.\n\nPlease note that resubmitting a dataset using the PRIDE Submission Tool is not an option to modify the submitter's details and contact. The new submitter's email must be registered with PRIDE for the transfer of ownership to be successful.
chatglm3-6b	How to search PRIDE?	6891	To search for a specific dataset in the PRIDE Archive, you can use the advanced search feature. Here's how:\n\n1. Go to the PRIDE Archive website at http://www.ebi.ac.uk/pride/archive.\n2. Click on the " advanced search " button.\n3. Use the search bar to enter relevant keywords or phrases related to the dataset you're looking for. You can also select specific fields to narrow down your search.\n4. Click on the " submit " button to perform the search.\n\nThe results of the search will be displayed on the page, and you can use the filters and sorting options to further refine your search. Keep in mind that the search terms and criteria may vary depending on the specific dataset you're searching for.
chatglm3-6b	Are all datasets submitted to PRIDE, private? 	5075	Yes, all datasets submitted to PRIDE are private by default. Submitters can access their own private datasets by using their PRIDE username and password. Additionally, a username and password are provided to facilitate access for journal editors and reviewers during the manuscript review process.
chatglm3-6b	What is the SDRF, and what metadata it contains?	14188	SDRF stands for Sample and Data Relationship Format (SDRF-Proteomics), and it is a tab-delimited text format that describes the relationship between samples and data files in a proteomics experiment. The SDRF file contains information about the sample, including its metadata, and how it relates to the corresponding data files. It also includes information about how the data was acquired and processed. The SDRF file is fully compatible with the SDRF file format part of MAGE-TAB and can be embedded into mzTab metadata files. The HUPO-PSI community is working to include information about the downstream analysis part of the experimental design in other file formats such as mzTab or a new type of file format.
chatglm3-6b	Can I submit metabolomics data to PRIDE? 	4004	Yes, you can submit metabolomics data to PRIDE. However, please note that PRIDE primarily focuses on protein-centric proteomics data, and while it can accept partial submissions of metadata and data, it is not designed to integrate metabolomics data.\n\nFor metabolomics data, you may consider submitting your data to other resources such as MetabolomicsXchange (<http://metabolomicsxchange.org/>), which is specifically designed to archive and support metabolomics studies.\n\nWhen submitting metadata or other related data to PRIDE, you may want to consider cross-referencing your data with relevant metabolomics studies to provide context and improve the reusability of your data.
